unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
direct_contact_cooler,direct_contact_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,absorber,214.0,34.000000000000455,14552.000000000195,,1.52,4184.147368421109,377735.52631579456,271969.5789473721,
direct_contact_cooler,lean_amine_cooler,0.0,48.99999999999998,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cross_heat_exchanger,0.0,59.76299924317013,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,stripper,0.0,65.76299924316959,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,storage_tank,0.0,59.000000000000455,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,reclaimer,0.0,84.76299924317058,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_house,0.0,83.99999999999955,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_KOdrum,0.0,77.99999999999955,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_interstage_cooler,0.0,88.99999999999955,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,TEG_dehydration,0.0,73.99999999999955,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cooling_tower,0.0,132.99999999999977,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,coolingwater_pumphouse,0.0,153.99999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,direct_contact_cooler,0.0,34.000000000000455,0.0,,0.0,0.0,0.0,0.0,
absorber,absorber,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber,lean_amine_cooler,53.0,53.0,5617.999999999942,,0.144,214220.7,17529.750000000004,12621.420000000004,
absorber,cross_heat_exchanger,56.0,62.23700075682996,6970.544084764901,,0.15,241493.5040246698,21374.675539925684,15389.766388746493,
absorber,stripper,0.0,68.23700075683018,0.0,,0.0,0.0,0.0,0.0,
absorber,storage_tank,0.0,90.99999999999909,0.0,,0.0,0.0,0.0,0.0,
absorber,reclaimer,0.0,59.2370007568295,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_house,0.0,49.99999999999886,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_KOdrum,0.0,43.99999999999886,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_interstage_cooler,0.0,54.99999999999886,0.0,,0.0,0.0,0.0,0.0,
absorber,TEG_dehydration,0.0,39.99999999999886,0.0,,0.0,0.0,0.0,0.0,
absorber,cooling_tower,0.0,109.0000000000007,0.0,,0.0,0.0,0.0,0.0,
absorber,coolingwater_pumphouse,0.0,130.0000000000007,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,direct_contact_cooler,0.0,48.99999999999998,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,absorber,0.0,53.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,lean_amine_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,cross_heat_exchanger,53.0,10.762999243169588,1140.8779197759286,,0.144,43502.96664096716,3559.861999678342,2563.1006397684064,
lean_amine_cooler,stripper,0.0,84.76299924316959,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,storage_tank,0.0,37.999999999998636,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,reclaimer,0.0,35.762999243170604,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_house,0.0,102.99999999999955,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_KOdrum,0.0,96.99999999999955,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_interstage_cooler,0.0,107.99999999999955,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,TEG_dehydration,0.0,92.99999999999955,0.0,,0.0,0.0,0.0,0.0,
