unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
direct_contact_cooler,direct_contact_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,absorber,214.0,71.0,30388.0,,1.52,8737.484210526316,788800.657894737,567936.4736842107,
direct_contact_cooler,lean_amine_cooler,0.0,124.0,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cross_heat_exchanger,0.0,156.00000000000045,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,stripper,0.0,96.0,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,storage_tank,0.0,282.0,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,reclaimer,0.0,188.0000000000005,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_house,0.0,143.0000000000004,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_KOdrum,0.0,155.0000000000005,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_interstage_cooler,0.0,167.0000000000004,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,TEG_dehydration,0.0,137.0000000000004,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cooling_tower,0.0,284.99999999999994,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,coolingwater_pumphouse,0.0,223.99999999999994,0.0,,0.0,0.0,0.0,0.0,
absorber,direct_contact_cooler,0.0,71.0,0.0,,0.0,0.0,0.0,0.0,
absorber,absorber,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber,lean_amine_cooler,53.0,53.0,5618.0,,0.144,214220.7,17529.750000000004,12621.420000000004,
absorber,cross_heat_exchanger,56.0,85.00000000000023,9520.0,,0.15,329819.0400000009,29192.400000000085,21018.528000000064,
absorber,stripper,0.0,131.0000000000001,0.0,,0.0,0.0,0.0,0.0,
absorber,storage_tank,0.0,211.00000000000023,0.0,,0.0,0.0,0.0,0.0,
absorber,reclaimer,0.0,117.00000000000023,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_house,0.0,214.0000000000001,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_KOdrum,0.0,188.0000000000001,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_interstage_cooler,0.0,238.0000000000001,0.0,,0.0,0.0,0.0,0.0,
absorber,TEG_dehydration,0.0,208.0000000000001,0.0,,0.0,0.0,0.0,0.0,
absorber,cooling_tower,0.0,355.99999999999994,0.0,,0.0,0.0,0.0,0.0,
absorber,coolingwater_pumphouse,0.0,294.99999999999994,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,direct_contact_cooler,0.0,124.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,absorber,0.0,53.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,lean_amine_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,cross_heat_exchanger,53.0,46.0,4875.999999999942,,0.144,185927.4,15214.5,10954.44,
lean_amine_cooler,stripper,0.0,184.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,storage_tank,0.0,158.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,reclaimer,0.0,64.00000000000051,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_house,0.0,267.0000000000004,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_KOdrum,0.0,241.0000000000004,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_interstage_cooler,0.0,291.0000000000004,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,TEG_dehydration,0.0,261.0000000000004,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,cooling_tower,0.0,408.99999999999994,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,coolingwater_pumphouse,0.0,347.99999999999994,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,direct_contact_cooler,0.0,156.00000000000045,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,absorber,0.0,85.00000000000023,0.0,,0.0,0.0,0.0,0.0,
