Objective,2614080.2847968005
unit,x,y,l,d
direct_contact_cooler,158.00000000000006,33.0,66.0,66.0
absorber,87.00000000000006,33.00000000000001,46.0,46.0
lean_amine_cooler,34.00000000000006,33.00000000000001,30.0,30.0
cross_heat_exchanger,41.00000000000006,72.00000000000045,16.0,16.0
stripper,140.0,111.00000000000045,60.0,60.0
storage_tank,17.0,174.00000000000045,34.0,34.0
reclaimer,9.0,72.00000000000045,18.0,18.0
compressor_house,165.0,169.00000000000045,7.999999999999993,37.50000000000001
compressor_KOdrum,139.0,169.00000000000045,26.0,26.0
compressor_interstage_cooler,189.0,169.00000000000045,22.0,22.0
TEG_dehydration,192.0,136.00000000000045,14.0,14.0
cooling_tower,238.0,238.0,52.0,52.0
coolingwater_pumphouse,238.0,177.0,17.0,8.0
