unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
direct_contact_cooler,direct_contact_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,absorber,214.0,56.0,23968.0,,1.52,6891.536842105263,622152.6315789474,447949.8947368422,
direct_contact_cooler,lean_amine_cooler,0.0,91.12394216826664,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cross_heat_exchanger,0.0,101.99999999999999,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,stripper,0.0,71.18697108413289,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,storage_tank,0.0,135.99999999999977,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,reclaimer,0.0,118.00000000000033,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_house,0.0,137.25,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_KOdrum,0.0,120.25000000000003,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_interstage_cooler,0.0,156.00000000000034,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,TEG_dehydration,0.0,170.25000000000006,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cooling_tower,0.0,174.0,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,coolingwater_pumphouse,0.0,204.0,0.0,,0.0,0.0,0.0,0.0,
absorber,direct_contact_cooler,0.0,56.0,0.0,,0.0,0.0,0.0,0.0,
absorber,absorber,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber,lean_amine_cooler,53.0,51.12394216826647,5419.13786983621,,0.144,206637.86184991625,16909.243872154137,12174.65558795098,
absorber,cross_heat_exchanger,56.0,45.99999999999977,5151.999999999942,,0.15,178490.30399999913,15798.239999999923,11374.732799999947,
absorber,stripper,0.0,127.18697108413312,0.0,,0.0,0.0,0.0,0.0,
absorber,storage_tank,0.0,80.00000000000011,0.0,,0.0,0.0,0.0,0.0,
absorber,reclaimer,0.0,62.000000000000114,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_house,0.0,81.24999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_KOdrum,0.0,96.24999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_interstage_cooler,0.0,100.00000000000011,0.0,,0.0,0.0,0.0,0.0,
absorber,TEG_dehydration,0.0,114.24999999999977,0.0,,0.0,0.0,0.0,0.0,
