unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
direct_contact_cooler,direct_contact_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,absorber,214.0,49.000000000000455,20972.000000000196,,1.52,6030.094736842161,544383.552631584,391956.1578947405,
direct_contact_cooler,lean_amine_cooler,0.0,85.00000000000043,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cross_heat_exchanger,0.0,113.00000000000085,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,stripper,0.0,159.00000000000045,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,storage_tank,0.0,305.0000000000009,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,reclaimer,0.0,138.00000000000088,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_house,0.0,173.00000000000048,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_KOdrum,0.0,158.00000000000048,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,compressor_interstage_cooler,0.0,187.00000000000048,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,TEG_dehydration,0.0,139.00000000000048,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,cooling_tower,0.0,334.0000000000001,0.0,,0.0,0.0,0.0,0.0,
direct_contact_cooler,coolingwater_pumphouse,0.0,265.0000000000001,0.0,,0.0,0.0,0.0,0.0,
absorber,direct_contact_cooler,0.0,49.000000000000455,0.0,,0.0,0.0,0.0,0.0,
absorber,absorber,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber,lean_amine_cooler,53.0,35.99999999999977,3815.999999999942,,0.144,145508.3999999991,11906.999999999927,8573.039999999948,
absorber,cross_heat_exchanger,56.0,64.00000000000023,7167.999999999985,,0.15,248334.3360000006,21980.159999999974,15825.715199999984,
absorber,stripper,0.0,110.00000000000011,0.0,,0.0,0.0,0.0,0.0,
absorber,storage_tank,0.0,256.00000000000057,0.0,,0.0,0.0,0.0,0.0,
absorber,reclaimer,0.0,89.00000000000023,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_house,0.0,123.99999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_KOdrum,0.0,108.99999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,compressor_interstage_cooler,0.0,137.99999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,TEG_dehydration,0.0,89.99999999999977,0.0,,0.0,0.0,0.0,0.0,
absorber,cooling_tower,0.0,284.9999999999993,0.0,,0.0,0.0,0.0,0.0,
absorber,coolingwater_pumphouse,0.0,215.99999999999932,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,direct_contact_cooler,0.0,85.00000000000043,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,absorber,0.0,35.99999999999977,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,lean_amine_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,cross_heat_exchanger,53.0,32.0,3391.999999999942,,0.144,129340.8,10584.000000000002,7620.480000000002,
lean_amine_cooler,stripper,0.0,78.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,storage_tank,0.0,220.00000000000045,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,reclaimer,0.0,53.000000000000455,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_house,0.0,96.00000000000001,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_KOdrum,0.0,81.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,compressor_interstage_cooler,0.0,110.00000000000001,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,TEG_dehydration,0.0,62.0,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,cooling_tower,0.0,256.99999999999966,0.0,,0.0,0.0,0.0,0.0,
lean_amine_cooler,coolingwater_pumphouse,0.0,187.99999999999966,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,direct_contact_cooler,0.0,113.00000000000085,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,absorber,0.0,64.00000000000023,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,lean_amine_cooler,0.0,32.0,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,cross_heat_exchanger,0.0,,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,stripper,89.0,45.99999999999994,8187.99999999999,,0.196,73393.75102040808,11120.265306122436,8006.591020408155,
cross_heat_exchanger,storage_tank,0.0,192.0,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,reclaimer,0.0,25.00000000000003,0.0,,0.0,0.0,0.0,0.0,
cross_heat_exchanger,compressor_house,0.0,64.0000000000009,0.0,,0.0,0.0,0.0,0.0,
