Objective,1989479.1135848355
unit,x,y,l,d
direct_contact_cooler,37.99999999999998,21.0,60.0,42.0
absorber,37.99999999999998,70.00000000000045,54.0,25.99999999999998
lean_amine_cooler,34.0,102.00000000000045,68.0,7.999999999999972
cross_heat_exchanger,36.00000000000003,132.0000000000009,12.0,20.0
stripper,36.00000000000003,178.00000000000085,62.0,39.99999999999997
storage_tank,8.0,296.00000000000136,16.0,44.00000000000001
reclaimer,11.0,132.0000000000009,8.0,22.0
compressor_house,100.00000000000024,132.00000000000023,7.999999999999993,37.5
compressor_KOdrum,85.00000000000023,132.00000000000023,4.0,86.0
compressor_interstage_cooler,114.00000000000024,132.00000000000023,2.0,134.0
TEG_dehydration,66.00000000000023,132.00000000000023,4.0,22.0
cooling_tower,109.00000000000023,283.9999999999999,34.0,68.00000000000001
coolingwater_pumphouse,109.00000000000023,214.9999999999999,17.0,7.999999999999989
