Objective,1279154.0742123926
unit,x,y,l,d
direct_contact_cooler,65.99999999999999,21.0,60.0,42.0
absorber,65.99999999999999,55.000000000000455,54.0,25.99999999999998
lean_amine_cooler,32.0,35.99999999999999,8.0,68.0
cross_heat_exchanger,22.0,36.76299924317014,12.0,20.000000000000004
stripper,115.99999999999999,36.76299924317014,40.0,62.000000000000014
storage_tank,8.0,22.000000000000906,16.0,44.00000000000181
reclaimer,11.0,50.7629992431706,22.0,7.999999999999989
compressor_house,90.99999999999953,80.0,37.50000000000001,7.999999999999979
compressor_KOdrum,90.99999999999953,74.0,86.0,3.9999999999999716
compressor_interstage_cooler,90.99999999999953,85.0,134.0,1.9999999999999432
TEG_dehydration,90.99999999999953,70.0,22.0,3.999999999999993
cooling_tower,170.0,49.99999999999977,34.0,68.0
coolingwater_pumphouse,191.0,49.99999999999977,8.0,17.0
