Objective,1792350.2444272568
unit,x,y,l,d
direct_contact_cooler,96.99999999999999,33.0,66.0,66.0
absorber,40.999999999999986,33.0,46.0,46.0
lean_amine_cooler,49.0,76.12394216826665,30.0,30.0
cross_heat_exchanger,26.0,64.0,16.0,16.0
stripper,102.0,99.18697108413333,60.0,60.0
storage_tank,17.0,89.00000000000034,34.0,34.0
reclaimer,9.0,63.00000000000034,18.0,18.0
compressor_house,39.999999999999986,113.25000000000001,7.999999999999993,37.50000000000001
compressor_KOdrum,56.99999999999998,113.25000000000001,26.0,26.0
compressor_interstage_cooler,24.99999999999999,117.00000000000034,22.0,22.0
TEG_dehydration,6.999999999999995,113.25000000000006,14.0,14.0
cooling_tower,148.0,156.0,52.0,52.0
coolingwater_pumphouse,178.0,156.0,8.0,17.0
