unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
absorber_T1,absorber_T1,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_pump_T1_1,73.0,11.614000003,847.822000219,,0.174,37851.86823046713,4555.8918632457935,1640.1210707684859,
absorber_T1,wash_water_pump_T1_2,0.0,15.342000003,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_cooler_T1,0.0,20.5060000029996,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,rich_pump_T1_1,57.0,17.211000002999526,981.0270001709432,,0.15,66303.79409955541,5874.4585210238,2114.805067568568,
absorber_T1,rich_pump_T1_2,0.0,23.839000003,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,absorber_T2,0.0,38.15600000000022,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_pump_T2_1,0.0,26.54200000000022,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_pump_T2_2,0.0,22.814000000000153,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_cooler_T2,0.0,17.64999999999994,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,rich_pump_T2_1,0.0,31.929500000000218,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,rich_pump_T2_2,0.0,35.44800000000021,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,absorber_T1,0.0,11.614000003,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T1_1,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T1_2,73.0,3.7280000000000015,272.1440000000001,,0.174,12150.14333793104,1462.4044137931041,526.4655889655176,
wash_water_pump_T1_1,wash_water_cooler_T1,0.0,8.892000000000001,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T1_1,0.0,5.597,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T1_2,0.0,12.225000000000001,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,absorber_T2,0.0,40.61400000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T2_1,0.0,29.000000003000217,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T2_2,0.0,32.72800000300028,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_cooler_T2,0.0,27.564000003000075,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T2_1,0.0,23.61250000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T2_2,0.0,23.83399999700021,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,absorber_T1,0.0,15.342000003,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,wash_water_pump_T1_1,0.0,3.7280000000000015,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,wash_water_pump_T1_2,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,wash_water_cooler_T1,73.0,5.164,376.972,,0.174,16830.29511724138,2025.7125517241384,729.2565186206899,
wash_water_pump_T1_2,rich_pump_T1_1,0.0,9.325000000000001,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,rich_pump_T1_2,0.0,15.953000000000003,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,absorber_T2,0.0,36.88600000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,wash_water_pump_T2_1,0.0,25.272000003000215,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,wash_water_pump_T2_2,0.0,29.00000000300028,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,wash_water_cooler_T2,0.0,23.836000003000073,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,rich_pump_T2_1,0.0,19.88450000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,rich_pump_T2_2,0.0,20.105999997000207,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,absorber_T1,73.0,20.506000002999144,1496.9380002189137,,0.174,66832.30668563677,8044.0088287627,2895.8431783545725,
wash_water_cooler_T1,wash_water_pump_T1_1,0.0,8.892000000000001,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,wash_water_pump_T1_2,0.0,5.164,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,wash_water_cooler_T1,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,rich_pump_T1_1,0.0,14.07,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,rich_pump_T1_2,0.0,17.798000000000002,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,absorber_T2,0.0,42.05000000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,wash_water_pump_T2_1,0.0,30.436000003000217,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T1,wash_water_pump_T2_2,0.0,34.16400000300028,0.0,,0.0,0.0,0.0,0.0,
