Objective,42591.471321217774
unit,x,y,l,d
absorber_T1,18.078,12.5,15.499999999999986,25.0
wash_water_pump_T1_1,6.463999997,12.5,1.728,1.728
wash_water_pump_T1_2,6.463999997,16.228,1.728,1.728
wash_water_cooler_T1,1.299999997,16.228,2.599999994,14.800000005999998
rich_pump_T1_1,6.254499997,7.1125,1.3089999999999993,5.047000000000001
rich_pump_T1_2,4.804499997,1.9345,5.047000000000001,1.308999999999998
absorber_T2,13.5,46.07800000000022,25.0,15.5
wash_water_pump_T2_1,13.5,34.46400000000022,1.728,1.728
wash_water_pump_T2_2,17.228000000000065,34.46400000000022,1.728,1.728
wash_water_cooler_T2,17.228000000000065,29.300000000000008,14.8,2.6000000000000014
rich_pump_T2_1,8.1125,34.46400000000022,5.047,1.3090000000000002
rich_pump_T2_2,2.9345000000000008,32.80450000000021,1.309,5.047
