unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
absorber_T1,absorber_T1,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_pump_T1_1,73.0,11.613999999999999,847.8219999999999,,0.174,37851.868220689656,4555.891862068966,1640.1210703448278,
absorber_T1,wash_water_pump_T1_2,0.0,15.341999999999999,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_cooler_T1,0.0,20.50599999999963,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,rich_pump_T1_1,57.0,17.001499999999623,969.0854999999428,,0.15,65496.714611998555,5802.95197999978,2089.062712799921,
absorber_T1,rich_pump_T1_2,0.0,23.839,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,absorber_T2,0.0,41.172,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_pump_T2_1,0.0,29.558,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_pump_T2_2,0.0,33.286000000000065,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,wash_water_cooler_T2,0.0,28.122000000000067,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,rich_pump_T2_1,0.0,26.482500000000012,0.0,,0.0,0.0,0.0,0.0,
absorber_T1,rich_pump_T2_2,0.0,29.79149999999998,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,absorber_T1,0.0,11.613999999999999,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T1_1,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T1_2,73.0,3.7279999999999998,272.144,,0.174,12150.143337931035,1462.4044137931037,526.4655889655174,
wash_water_pump_T1_1,wash_water_cooler_T1,0.0,8.892,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T1_1,0.0,5.387499999999999,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T1_2,0.0,12.225000000000001,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,absorber_T2,0.0,52.786,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T2_1,0.0,41.172,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_pump_T2_2,0.0,44.90000000000006,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,wash_water_cooler_T2,0.0,39.73600000000007,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T2_1,0.0,36.63149999999999,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_1,rich_pump_T2_2,0.0,33.32250000000002,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T1_2,absorber_T1,0.0,15.341999999999999,0.0,,0.0,0.0,0.0,0.0,
